file,U,D,date
limit_list_2018-07-05.csv,9,36,2018-07-05
limit_list_2018-07-06.csv,28,24,2018-07-06
limit_list_2018-07-09.csv,16,11,2018-07-09
limit_list_2018-07-10.csv,27,6,2018-07-10
limit_list_2018-07-11.csv,15,34,2018-07-11
limit_list_2018-07-12.csv,33,6,2018-07-12
limit_list_2018-07-13.csv,24,10,2018-07-13
limit_list_2018-07-16.csv,26,23,2018-07-16
limit_list_2018-07-17.csv,28,10,2018-07-17
limit_list_2018-07-18.csv,34,10,2018-07-18
limit_list_2018-07-19.csv,18,11,2018-07-19
limit_list_2018-07-20.csv,30,3,2018-07-20
limit_list_2018-07-23.csv,20,16,2018-07-23
limit_list_2018-07-24.csv,33,0,2018-07-24
limit_list_2018-07-25.csv,35,1,2018-07-25
limit_list_2018-07-26.csv,55,3,2018-07-26
limit_list_2018-07-27.csv,32,10,2018-07-27
limit_list_2018-07-30.csv,21,33,2018-07-30
limit_list_2018-07-31.csv,25,12,2018-07-31
limit_list_2018-08-01.csv,17,6,2018-08-01
limit_list_2018-08-02.csv,14,46,2018-08-02
limit_list_2018-08-03.csv,21,21,2018-08-03
limit_list_2018-08-06.csv,16,38,2018-08-06
limit_list_2018-08-07.csv,24,12,2018-08-07
limit_list_2018-08-08.csv,21,20,2018-08-08
limit_list_2018-08-09.csv,30,6,2018-08-09
limit_list_2018-08-10.csv,23,5,2018-08-10
limit_list_2018-08-13.csv,24,4,2018-08-13
limit_list_2018-08-14.csv,18,6,2018-08-14
limit_list_2018-08-15.csv,17,7,2018-08-15
limit_list_2018-08-16.csv,17,16,2018-08-16
limit_list_2018-08-17.csv,10,14,2018-08-17
limit_list_2018-08-20.csv,15,17,2018-08-20
limit_list_2018-08-21.csv,21,7,2018-08-21
limit_list_2018-08-22.csv,14,13,2018-08-22
limit_list_2018-08-23.csv,13,7,2018-08-23
limit_list_2018-08-24.csv,10,5,2018-08-24
limit_list_2018-08-27.csv,19,6,2018-08-27
limit_list_2018-08-28.csv,20,5,2018-08-28
limit_list_2018-08-29.csv,13,2,2018-08-29
limit_list_2018-08-30.csv,7,7,2018-08-30
limit_list_2018-08-31.csv,10,12,2018-08-31
limit_list_2018-09-03.csv,17,16,2018-09-03
limit_list_2018-09-04.csv,23,4,2018-09-04
limit_list_2018-09-05.csv,23,5,2018-09-05
limit_list_2018-09-06.csv,20,3,2018-09-06
limit_list_2018-09-07.csv,24,3,2018-09-07
limit_list_2018-09-10.csv,20,14,2018-09-10
limit_list_2018-09-11.csv,17,14,2018-09-11
limit_list_2018-09-12.csv,22,5,2018-09-12
limit_list_2018-09-13.csv,15,7,2018-09-13
limit_list_2018-09-14.csv,14,13,2018-09-14
limit_list_2018-09-17.csv,13,22,2018-09-17
limit_list_2018-09-18.csv,26,9,2018-09-18
limit_list_2018-09-19.csv,31,7,2018-09-19
limit_list_2018-09-20.csv,24,4,2018-09-20
limit_list_2018-09-21.csv,25,5,2018-09-21
limit_list_2018-09-25.csv,14,6,2018-09-25
limit_list_2018-09-26.csv,20,6,2018-09-26
limit_list_2018-09-27.csv,14,12,2018-09-27
limit_list_2018-09-28.csv,17,11,2018-09-28
limit_list_2018-10-08.csv,13,33,2018-10-08
limit_list_2018-10-09.csv,18,6,2018-10-09
limit_list_2018-10-10.csv,22,9,2018-10-10
limit_list_2018-10-11.csv,17,590,2018-10-11
limit_list_2018-10-12.csv,17,102,2018-10-12
limit_list_2018-10-15.csv,30,24,2018-10-15
limit_list_2018-10-16.csv,21,32,2018-10-16
limit_list_2018-10-17.csv,28,28,2018-10-17
limit_list_2018-10-18.csv,19,84,2018-10-18
limit_list_2018-10-19.csv,24,27,2018-10-19
limit_list_2018-10-22.csv,105,3,2018-10-22
limit_list_2018-10-23.csv,43,5,2018-10-23
limit_list_2018-10-24.csv,33,4,2018-10-24
limit_list_2018-10-25.csv,16,19,2018-10-25
limit_list_2018-10-26.csv,31,5,2018-10-26
limit_list_2018-10-29.csv,14,20,2018-10-29
limit_list_2018-10-30.csv,41,12,2018-10-30
limit_list_2018-10-31.csv,37,4,2018-10-31
limit_list_2018-11-01.csv,44,4,2018-11-01
limit_list_2018-11-02.csv,35,4,2018-11-02
limit_list_2018-11-05.csv,46,5,2018-11-05
limit_list_2018-11-06.csv,34,12,2018-11-06
limit_list_2018-11-07.csv,36,5,2018-11-07
limit_list_2018-11-08.csv,41,6,2018-11-08
limit_list_2018-11-09.csv,38,6,2018-11-09
limit_list_2018-11-12.csv,74,3,2018-11-12
limit_list_2018-11-13.csv,82,2,2018-11-13
limit_list_2018-11-14.csv,56,5,2018-11-14
limit_list_2018-11-15.csv,41,3,2018-11-15
limit_list_2018-11-16.csv,51,3,2018-11-16
limit_list_2018-11-19.csv,42,10,2018-11-19
limit_list_2018-11-20.csv,29,18,2018-11-20
limit_list_2018-11-21.csv,31,5,2018-11-21
limit_list_2018-11-22.csv,33,5,2018-11-22
limit_list_2018-11-23.csv,12,52,2018-11-23
limit_list_2018-11-26.csv,22,18,2018-11-26
limit_list_2018-11-27.csv,27,4,2018-11-27
limit_list_2018-11-28.csv,23,11,2018-11-28
limit_list_2018-11-29.csv,20,12,2018-11-29
limit_list_2018-11-30.csv,17,12,2018-11-30
limit_list_2018-12-03.csv,45,1,2018-12-03
limit_list_2018-12-04.csv,28,1,2018-12-04
limit_list_2018-12-05.csv,24,11,2018-12-05
limit_list_2018-12-06.csv,16,15,2018-12-06
limit_list_2018-12-07.csv,11,6,2018-12-07
limit_list_2018-12-10.csv,14,12,2018-12-10
limit_list_2018-12-11.csv,20,5,2018-12-11
limit_list_2018-12-12.csv,14,3,2018-12-12
limit_list_2018-12-13.csv,13,5,2018-12-13
limit_list_2018-12-14.csv,13,8,2018-12-14
limit_list_2018-12-17.csv,19,6,2018-12-17
limit_list_2018-12-18.csv,9,6,2018-12-18
limit_list_2018-12-19.csv,11,2,2018-12-19
limit_list_2018-12-20.csv,16,9,2018-12-20
limit_list_2018-12-21.csv,9,10,2018-12-21
limit_list_2018-12-24.csv,6,4,2018-12-24
limit_list_2018-12-25.csv,18,24,2018-12-25
limit_list_2018-12-26.csv,23,5,2018-12-26
limit_list_2018-12-27.csv,15,15,2018-12-27
limit_list_2018-12-28.csv,14,5,2018-12-28
limit_list_2019-01-02.csv,20,5,2019-01-02
limit_list_2019-01-03.csv,22,16,2019-01-03
limit_list_2019-01-04.csv,46,5,2019-01-04
limit_list_2019-01-07.csv,40,1,2019-01-07
limit_list_2019-01-08.csv,36,5,2019-01-08
limit_list_2019-01-09.csv,43,2,2019-01-09
limit_list_2019-01-10.csv,28,3,2019-01-10
limit_list_2019-01-11.csv,37,6,2019-01-11
limit_list_2019-01-14.csv,19,10,2019-01-14
limit_list_2019-01-15.csv,16,10,2019-01-15
limit_list_2019-01-16.csv,24,3,2019-01-16
limit_list_2019-01-17.csv,23,7,2019-01-17
limit_list_2019-01-18.csv,18,5,2019-01-18
limit_list_2019-01-21.csv,26,3,2019-01-21
limit_list_2019-01-22.csv,14,4,2019-01-22
limit_list_2019-01-23.csv,20,3,2019-01-23
limit_list_2019-01-24.csv,22,3,2019-01-24
limit_list_2019-01-25.csv,16,18,2019-01-25
limit_list_2019-01-28.csv,19,32,2019-01-28
limit_list_2019-01-29.csv,5,79,2019-01-29
limit_list_2019-01-30.csv,9,56,2019-01-30
limit_list_2019-01-31.csv,17,114,2019-01-31
limit_list_2019-02-01.csv,36,13,2019-02-01
limit_list_2019-02-11.csv,41,4,2019-02-11
limit_list_2019-02-12.csv,44,0,2019-02-12
limit_list_2019-02-13.csv,44,1,2019-02-13
limit_list_2019-02-14.csv,36,0,2019-02-14
limit_list_2019-02-15.csv,35,1,2019-02-15
limit_list_2019-02-18.csv,49,0,2019-02-18
limit_list_2019-02-19.csv,58,1,2019-02-19
limit_list_2019-02-20.csv,38,1,2019-02-20
limit_list_2019-02-21.csv,33,4,2019-02-21
limit_list_2019-02-22.csv,59,3,2019-02-22
limit_list_2019-02-25.csv,138,0,2019-02-25
limit_list_2019-02-26.csv,76,4,2019-02-26
limit_list_2019-02-27.csv,53,16,2019-02-27
limit_list_2019-02-28.csv,36,19,2019-02-28
limit_list_2019-03-01.csv,28,6,2019-03-01
limit_list_2019-03-04.csv,77,1,2019-03-04
limit_list_2019-03-05.csv,94,0,2019-03-05
limit_list_2019-03-06.csv,101,1,2019-03-06
limit_list_2019-03-07.csv,100,2,2019-03-07
limit_list_2019-03-08.csv,45,144,2019-03-08
limit_list_2019-03-11.csv,101,16,2019-03-11
limit_list_2019-03-12.csv,85,1,2019-03-12
limit_list_2019-03-13.csv,46,31,2019-03-13
limit_list_2019-03-14.csv,18,88,2019-03-14
limit_list_2019-03-15.csv,55,2,2019-03-15
limit_list_2019-03-18.csv,35,12,2019-03-18
limit_list_2019-03-19.csv,41,1,2019-03-19
limit_list_2019-03-20.csv,38,6,2019-03-20
limit_list_2019-03-21.csv,61,2,2019-03-21
limit_list_2019-03-22.csv,38,2,2019-03-22
limit_list_2019-03-25.csv,49,7,2019-03-25
limit_list_2019-03-26.csv,26,23,2019-03-26
limit_list_2019-03-27.csv,45,12,2019-03-27
limit_list_2019-03-28.csv,30,18,2019-03-28
limit_list_2019-03-29.csv,32,18,2019-03-29
limit_list_2019-04-01.csv,77,3,2019-04-01
limit_list_2019-04-02.csv,57,3,2019-04-02
limit_list_2019-04-03.csv,62,2,2019-04-03
limit_list_2019-04-04.csv,50,2,2019-04-04
limit_list_2019-04-08.csv,50,5,2019-04-08
limit_list_2019-04-09.csv,41,9,2019-04-09
limit_list_2019-04-10.csv,52,8,2019-04-10
limit_list_2019-04-11.csv,43,15,2019-04-11
limit_list_2019-04-12.csv,33,20,2019-04-12
limit_list_2019-04-15.csv,28,7,2019-04-15
limit_list_2019-04-16.csv,44,6,2019-04-16
limit_list_2019-04-17.csv,52,0,2019-04-17
limit_list_2019-04-18.csv,38,7,2019-04-18
limit_list_2019-04-19.csv,41,3,2019-04-19
limit_list_2019-04-22.csv,33,13,2019-04-22
limit_list_2019-04-23.csv,24,47,2019-04-23
limit_list_2019-04-24.csv,44,11,2019-04-24
limit_list_2019-04-25.csv,29,58,2019-04-25
limit_list_2019-04-26.csv,28,48,2019-04-26
limit_list_2019-04-29.csv,18,163,2019-04-29
limit_list_2019-04-30.csv,37,49,2019-04-30
limit_list_2019-05-06.csv,15,454,2019-05-06
limit_list_2019-05-07.csv,42,30,2019-05-07
limit_list_2019-05-08.csv,43,19,2019-05-08
limit_list_2019-05-09.csv,20,23,2019-05-09
limit_list_2019-05-10.csv,47,5,2019-05-10
limit_list_2019-05-13.csv,27,13,2019-05-13
limit_list_2019-05-14.csv,26,10,2019-05-14
limit_list_2019-05-15.csv,45,3,2019-05-15
limit_list_2019-05-16.csv,42,2,2019-05-16
limit_list_2019-05-17.csv,21,39,2019-05-17
limit_list_2019-05-20.csv,28,64,2019-05-20
limit_list_2019-05-21.csv,33,7,2019-05-21
limit_list_2019-05-22.csv,32,6,2019-05-22
limit_list_2019-05-23.csv,26,35,2019-05-23
limit_list_2019-05-24.csv,26,27,2019-05-24
limit_list_2019-05-27.csv,49,17,2019-05-27
limit_list_2019-05-28.csv,39,6,2019-05-28
limit_list_2019-05-29.csv,24,7,2019-05-29
limit_list_2019-05-30.csv,30,18,2019-05-30
limit_list_2019-05-31.csv,32,7,2019-05-31
limit_list_2019-06-03.csv,32,33,2019-06-03
limit_list_2019-06-04.csv,18,29,2019-06-04
limit_list_2019-06-05.csv,27,14,2019-06-05
limit_list_2019-06-06.csv,9,48,2019-06-06
limit_list_2019-06-10.csv,39,21,2019-06-10
limit_list_2019-06-11.csv,64,7,2019-06-11
limit_list_2019-06-12.csv,32,6,2019-06-12
limit_list_2019-06-13.csv,36,7,2019-06-13
limit_list_2019-06-14.csv,30,16,2019-06-14
limit_list_2019-06-17.csv,31,18,2019-06-17
limit_list_2019-06-18.csv,26,11,2019-06-18
limit_list_2019-06-19.csv,45,4,2019-06-19
limit_list_2019-06-20.csv,30,10,2019-06-20
limit_list_2019-06-21.csv,90,3,2019-06-21
limit_list_2019-06-24.csv,61,4,2019-06-24
limit_list_2019-06-25.csv,29,14,2019-06-25
limit_list_2019-06-26.csv,26,11,2019-06-26
limit_list_2019-06-27.csv,22,5,2019-06-27
limit_list_2019-06-28.csv,20,15,2019-06-28
limit_list_2019-07-01.csv,45,1,2019-07-01
limit_list_2019-07-02.csv,25,6,2019-07-02
limit_list_2019-07-03.csv,16,8,2019-07-03
limit_list_2019-07-04.csv,20,6,2019-07-04
limit_list_2019-07-05.csv,36,5,2019-07-05
limit_list_2019-07-08.csv,12,29,2019-07-08
limit_list_2019-07-09.csv,15,9,2019-07-09
limit_list_2019-07-10.csv,15,2,2019-07-10
limit_list_2019-07-11.csv,15,3,2019-07-11
limit_list_2019-07-12.csv,13,6,2019-07-12
limit_list_2019-07-15.csv,19,19,2019-07-15
limit_list_2019-07-16.csv,20,3,2019-07-16
limit_list_2019-07-17.csv,14,2,2019-07-17
limit_list_2019-07-18.csv,13,7,2019-07-18
limit_list_2019-07-19.csv,17,3,2019-07-19
limit_list_2019-07-22.csv,6,48,2019-07-22
limit_list_2019-07-23.csv,24,2,2019-07-23
limit_list_2019-07-24.csv,25,1,2019-07-24
limit_list_2019-07-25.csv,13,2,2019-07-25
limit_list_2019-07-26.csv,17,5,2019-07-26
limit_list_2019-07-29.csv,18,6,2019-07-29
limit_list_2019-07-30.csv,16,6,2019-07-30
